clave,alcaldia,pob_Total,disc_Total,porcentaje_limitacion_discapacidad,pob_De 0 a 4 años,pob_De 5 a 9 años,pob_De 10 a 14 años,pob_De 15 a 19 años,pob_De 20 a 24 años,pob_De 25 a 29 años,pob_De 30 a 34 años,pob_De 35 a 39 años,pob_De 40 a 44 años,pob_De 45 a 49 años,pob_De 50 a 54 años,pob_De 55 a 59 años,pob_De 60 a 64 años,pob_De 65 a 69 años,pob_De 70 a 74 años,pob_De 75 a 79 años,pob_De 80 a 84 años,pob_85 años y más,pob_No especificado,disc_De 0 a 4 años,disc_De 5 a 9 años,disc_De 10 a 14 años,disc_De 15 a 19 años,disc_De 20 a 24 años,disc_De 25 a 29 años,disc_De 30 a 34 años,disc_De 35 a 39 años,disc_De 40 a 44 años,disc_De 45 a 49 años,disc_De 50 a 54 años,disc_De 55 a 59 años,disc_De 60 a 64 años,disc_De 65 a 69 años,disc_De 70 a 74 años,disc_De 75 a 79 años,disc_De 80 a 84 años,disc_85 años y más,disc_No especificado
09 010,Álvaro Obregón,759137,131077,17.27,38484,46700,50868,54848,59941,60708,59486,57172,55144,55973,52721,43950,38506,29503,21797,14182,9657,8674,823,1680,3282,4319,4834,5327,5393,5525,5582,6321,8885,11110,11776,12820,12030,10610,8176,6518,6881,8.0
09 002,Azcapotzalco,432205,83513,19.32,21060,23420,25886,27983,31456,34405,34905,33162,31245,31859,31135,26674,23787,18059,14232,9631,6845,6096,365,1009,1630,2232,2551,2977,3247,3487,3277,3741,5512,7151,7476,8288,7634,7369,5941,4946,5044,1.0
09 014,Benito Juárez,434153,72246,16.64,16642,17069,17532,18970,25111,37175,45187,42967,36849,33531,29025,26713,25751,20433,16089,10426,7348,7297,38,657,923,1278,1491,2099,3299,3984,3609,3547,4510,5045,5631,6841,6737,6611,5386,4755,5840,3.0
09 003,Coyoacán,614447,116175,18.91,26627,30448,34252,39399,47036,47839,45644,44680,44815,46180,43229,37578,36144,30490,24070,15949,10393,9546,128,1420,2115,2845,3369,4175,4310,4243,4192,5280,7396,8957,9359,11274,11737,11454,9160,7069,7819,1.0
09 004,Cuajimalpa de Morelos,217686,27647,12.7,14255,15279,15773,16776,18294,18450,18156,16830,15914,15880,14603,11557,9043,6259,4385,2805,1829,1482,116,569,771,1061,1263,1381,1403,1373,1237,1474,1937,2482,2473,2432,2141,1938,1412,1172,1126,2.0
09 015,Cuauhtémoc,545884,102680,18.81,26032,27530,29907,31790,38297,50171,53817,47893,40991,38772,35732,31077,29518,22337,16920,10819,7568,6647,66,1306,2070,2801,3133,3871,4937,5248,4795,5089,6713,8087,8855,10234,9540,8688,6570,5296,5436,11.0
09 005,Gustavo A. Madero,1173351,224563,19.14,63262,71634,77449,84333,91577,91448,87626,83599,81503,84691,82520,70006,62094,46560,36300,25079,17679,15757,234,2973,5286,7013,7998,8765,8667,8574,8606,10336,14888,19064,19929,22135,20293,19085,15537,12578,12834,2.0
09 006,Iztacalco,404695,81519,20.14,20466,23276,25570,27759,30641,31727,31735,30107,28748,30076,28900,24605,21833,16292,12400,8395,6174,5813,178,1052,1771,2366,2606,3049,3090,3234,3244,3769,5606,6952,7295,8197,7460,6917,5414,4571,4926,
09 007,Iztapalapa,1835486,352141,19.19,103148,126728,136959,143193,150740,151590,144870,136930,131513,129385,118681,99290,87752,64935,46866,29463,17848,15200,395,5003,10585,14576,15227,16127,16176,15984,15663,18540,25004,30575,31718,35104,30873,26513,18953,13042,12475,3.0
09 008,La Magdalena Contreras,247622,49003,19.79,13012,16270,18096,18889,19969,19833,18142,17677,17816,18821,17234,13747,12007,9248,6846,4482,2832,2658,43,702,1314,1881,2016,2068,2230,2060,2208,2465,3605,4465,4410,4672,4210,3655,2834,2012,2195,1.0
09 016,Miguel Hidalgo,414470,66806,16.12,19979,20874,21642,22594,27044,34671,38603,36202,33148,31242,27808,23626,20928,16325,12683,8960,6179,6036,5926,877,1193,1644,1830,2196,2858,3132,2924,3391,4309,5292,5552,6320,5997,5695,4815,4002,4776,3.0
09 009,Milpa Alta,152685,28527,18.68,10348,12665,13298,13445,13391,12949,11690,10995,10591,10215,9428,7219,5696,4012,2761,1830,1146,992,14,472,1030,1360,1436,1506,1410,1368,1417,1629,2293,2784,2566,2498,2110,1645,1284,877,842,
09 011,Tláhuac,392313,70745,18.03,23715,29097,31239,32389,33573,33430,30567,28805,27822,28300,26238,20797,16593,11511,7924,4627,3017,2524,145,1221,2230,2979,3247,3368,3351,3230,3213,3953,5642,6882,6891,6709,5668,4645,3117,2287,2112,
09 012,Tlalpan,699928,127351,18.19,34857,45252,49043,52955,57573,56410,54450,52830,51206,51075,46290,38562,34838,26970,19759,12570,8058,6699,531,1815,3547,4533,5079,5385,5568,5563,5716,6811,8926,10840,11213,12364,11532,9994,7487,5583,5395,
09 017,Venustiano Carranza,443704,85259,19.22,23147,26760,28174,30110,32983,34920,34441,32721,31216,31846,30804,27203,24730,18317,13837,9203,6672,6205,415,989,1860,2587,2890,3191,3409,3445,3364,4050,5588,7266,7611,8717,7839,7174,5550,4704,5024,1.0
09 013,Xochimilco,442178,84575,19.13,24870,30905,33274,34956,36979,36563,34292,33280,31786,31099,29135,23843,20294,14945,10875,6794,4235,3844,209,1104,2601,3644,3901,3899,3989,3854,4026,4533,6300,7765,7661,7876,6912,5880,4323,3093,3214,
