alcaldia,poblacion_total_infantes_0_2,cobertura_caci_0_2_pct,establecimientos_caci_publicos,matricula_caci_infantes,poblacion_adultos_mayores_60plus,pea_femenina_pct,pnea_hogar_femenina_pct,tasa_desocupacion_femenina_pct,nuevos_centros_infantiles_propuestos,presupuesto_anual_infantil_mdp,nuevos_espacios_discapacidad_propuestos,presupuesto_anual_discapacidad_mdp,nuevas_casas_dia_adultos_mayores_propuestas,presupuesto_anual_adultos_mayores_mdp
Álvaro Obregón,21213,5.2,24,1100,122319,52.4,36.5,3.8,19,260.71,8,47.72,8,42.53
Azcapotzalco,11784,10.2,24,1201,78650,54.1,34.2,3.6,0,0.0,2,11.93,2,10.63
Benito Juárez,9319,28.5,32,2653,87344,61.4,28.1,2.9,0,0.0,0,0.0,0,0.0
Coyoacán,14791,14.0,40,2078,126592,53.8,35.1,3.4,0,0.0,10,59.66,8,42.53
Cuajimalpa de Morelos,8030,7.9,10,631,25803,51.2,38.0,3.1,9,123.49,1,5.97,4,21.26
Cuauhtémoc,14525,33.0,70,4796,93809,59.7,29.8,3.5,0,0.0,7,41.76,2,10.63
Gustavo A. Madero,35261,10.4,47,3651,203469,47.5,43.1,4.2,20,274.43,12,71.59,9,47.85
Iztacalco,11527,8.9,28,1031,70907,50.8,39.4,3.9,0,0.0,4,23.86,2,10.63
Iztapalapa,57907,5.6,51,3232,262064,46.2,44.8,4.5,41,562.58,29,173.0,19,101.01
La Magdalena Contreras,7221,12.1,8,875,38073,48.9,41.2,3.7,10,137.22,9,53.69,4,21.26
Miguel Hidalgo,11182,21.0,45,2352,71111,58.5,30.5,3.1,0,0.0,2,11.93,0,0.0
Milpa Alta,5824,2.9,8,168,16437,38.9,52.3,4.1,5,68.61,0,0.0,1,5.32
Tláhuac,13208,3.3,12,434,46196,44.5,46.7,4.3,15,205.82,1,5.97,3,15.95
Tlalpan,18861,9.5,21,1795,108894,51.6,37.8,3.8,23,315.59,3,17.9,3,15.95
Venustiano Carranza,12749,13.6,36,1729,78964,52.1,37.2,3.7,0,0.0,3,17.9,4,21.26
Xochimilco,13749,4.4,12,610,60987,45.1,45.9,4.0,18,246.99,4,23.86,6,31.9
Total CDMX,267151,11.9,468,28336,1491619,51.0,38.8,3.7,160,2195.44,95,566.74,75,398.71
