indicador,valor,fuente
Valor total TNRH Nacional (2024),"8,011,499 MDP",INEGI CSTNRHM 2024
Porcentaje del PIB Nacional TNRH,23.9%,INEGI CSTNRHM 2024
Aportación promedio anual por mujer,"$82,339 MXN",INEGI CSTNRHM 2024
Aportación promedio anual por hombre,"$34,695 MXN",INEGI CSTNRHM 2024
Porcentaje del TNRH aportado por mujeres,74.7%,INEGI CSTNRHM 2024
Participación del TNRH en el PIB CDMX,11.6%,Evalúa CDMX / CSTNRHM
Participación de la CDMX en el TNRH Nacional,6.7%,INEGI CSTNRHM 2024
Población susceptible de recibir cuidados (Nacional),58.3 millones,INEGI ENASIC 2022
Población susceptible de recibir cuidados (CDMX),3.018 millones (32.4% pop),Evalúa CDMX ENIGH 2022
Población cuidadora de 15+ años (Nacional),31.7 millones (75.1% mujeres),INEGI ENASIC 2022
Horas semanales promedio de cuidado (Mujeres),38.9 horas/semana,INEGI ENASIC 2022
Horas semanales promedio de cuidado (Hombres),30.6 horas/semana,INEGI ENASIC 2022
Cobertura de cuidados en adultos mayores (60+),22.4%,INEGI ENASIC 2022
Inactividad laboral femenina por falta de estancias infantiles,68.4%,INEGI ENASIC 2022
Inactividad laboral femenina por falta de cuidado a adultos mayores/enfermos,78.4%,INEGI ENASIC 2022
